country	sex
USA	male
Canada	male
Bahamas	male
Cuba	male
Haiti	male
Dominican Rep	male
Jamaica	male
Trinidad and Tobago	male
Barbados	female
Dominica	male
Grenada	male
St Lucia	male
St Vincent	male
Antigua and Barbuda	male
St Kitts and Nevis	male
Mexico	male
Belize	male
Guatemala	male
Honduras	male
El Salvador	male
Nicaragua	male
Costa Rica	male
Panama	male
Colombia	male
Venezuela	male
Guyana	male
Suriname	male
Ecuador	male
Peru	male
Brazil	male
Bolivia	female
Paraguay	male
Chile	male
Argentina	male
Uruguay	male
UKG	male
Ireland	male
Netherlands	male
Belgium	female
Luxembourg	male
France	male
Monaco	male
Liechtenstein	male
Switzerland	female
Spain	male
Andorra	male
Portugal	male
Germany	female
Poland	male
Austria	female
Hungary	male
Czech Rep	male
Slovakia	male
Italy	male
San Marino	male
Malta	male
Albania	male
Montenegro	male
Macedonia	male
Croatia	male
Serbia	female
Bosnia	male
Kosovo	male
Slovenia	male
Greece	male
Cyprus	male
Bulgaria	male
Moldova	male
Romania	male
Russia	male
Estonia	male
Latvia	male
Lithuania	male
Ukraine	male
Belarus	male
Armenia	male
Georgia	male
Azerbaijan	male
Finland	female
Sweden	male
Norway	female
Denmark	female
Iceland	female
Cape Verde	male
Sao Tome and Principe	male
Guinea Bissau	male
Equatorial Guinea	male
Gambia	male
Mali	male
Senegal	male
Benin	male
Mauritania	male
Niger	male
Ivory Coast	male
Guinea	male
Burkina Faso	male
Liberia	male
Sierra Leone	male
Ghana	male
Togo	male
Cameroon	male
Nigeria	male
Gabon	male
Cen African Rep	male
Chad	male
Congo-Brz	male
Congo/Zaire	male
Uganda	male
Kenya	male
Tanzania	male
Burundi	male
Rwanda	male
Somalia	male
Djibouti	male
Ethiopia	male
Eritrea	male
Angola	male
Mozambique	male
Zambia	male
Zimbabwe	male
Malawi	male
South Africa	male
Namibia	male
Lesotho	male
Botswana	male
Swaziland	male
Madagascar	male
Comoros	male
Mauritius	male
Seychelles	male
Morocco	male
Algeria	male
Tunisia	male
Libya	male
Sudan	male
South Sudan	male
Iran	male
Turkey	male
Iraq	male
Egypt	male
Syria	male
Lebanon	male
Jordan	male
Israel	male
Saudi Arabia	male
Yemen	male
Kuwait	male
Bahrain	male
Qatar	male
United Arab Emirates	male
Oman	male
Afghanistan	male
Turkmenistan	male
Tajikistan	male
Kyrgyzstan	male
Uzbekistan	male
Kazakhstan	male
China	male
Mongolia	male
Korea North	male
Korea South	male
Japan	male
India	male
Bhutan	male
Pakistan	male
Bangladesh	female
Myanmar	female
Sri Lanka	male
Maldives	male
Nepal	male
Thailand	male
Cambodia	male
Laos	male
Vietnam	male
Malaysia	male
Singapore	male
Brunei	male
Philippines	male
Indonesia	male
East Timor	male
Australia	male
Papua New Guinea	male
New Zealand	female
Vanuatu	male
Solomon Islands	male
Kiribati	male
Tuvalu	male
Fiji	male
Tonga	male
Nauru	male
Marshall Islands	male
Palau	male
Micronesia	male
Samoa	male
